"item","freq","year_q1","year_med","year_q3"
"MICROORGANISMS",95,2016,2020,2022
"MICROALGA",93,2016,2020,2023
"BIOMASS",87,2018,2022,2023
"MICRO-ALGAE",80,2016,2021,2023
"BIOFUELS",76,2016,2019,2022
"ALGAE",75,2012,2016,2020
"MICROALGAE",74,2018,2022,2023
"BIOFUEL",70,2015,2020,2022
"CARBON DIOXIDE",60,2012,2020,2022
"BIODIESEL",48,2015,2019,2022
"SUSTAINABLE DEVELOPMENT",47,2018,2021,2023
"BIOFUEL PRODUCTION",46,2016,2022,2023
"FOSSIL FUELS",35,2018,2022,2023
"NONHUMAN",35,2018,2021,2023
"BIOTECHNOLOGY",32,2016,2018,2020
"WASTEWATER TREATMENT",30,2018,2022,2023
"REVIEW",29,2016,2019,2022
"REFINING",28,2018,2020,2022
"BIOREFINERIES",27,2018,2021,2023
"BIOCONVERSION",26,2018,2020,2023
"LIFE CYCLE",25,2019,2021,2023
"CULTIVATION",23,2016,2020,2022
"ENVIRONMENTAL IMPACT",21,2018,2022,2023
"BIOGAS",20,2016,2021,2023
"BIOENERGY",19,2019,2022,2023
"CARBON SEQUESTRATION",19,2022,2023,2024
"FEEDSTOCKS",19,2015,2019,2022
"WASTEWATER",19,2018,2022,2024
"GLOBAL WARMING",18,2012,2018,2021
"CARBON",17,2019,2022,2023
"ENVIRONMENTAL SUSTAINABILITY",17,2016,2022,2023
"GENETIC ENGINEERING",17,2011,2018,2023
"BIOETHANOL",16,2020,2022,2024
"BIOREMEDIATION",16,2022,2022,2023
"GREENHOUSE GASES",16,2016,2021,2022
"CLIMATE CHANGE",15,2019,2021,2024
"ECONOMIC ANALYSIS",15,2018,2022,2023
"METABOLISM",15,2016,2018,2021
"ANAEROBIC DIGESTION",14,2016,2018,2023
"BIODIESEL PRODUCTION",14,2016,2020,2022
"BIOMASS PRODUCTION",14,2018,2020,2023
"PRIORITY JOURNAL",14,2015,2018,2019
"ENERGY",13,2018,2022,2022
"SUSTAINABILITY",13,2013,2019,2022
"WASTE WATER MANAGEMENT",13,2020,2022,2023
"ENERGY POLICY",12,2015,2019,2022
"FOSSIL FUEL",12,2013,2020,2022
"LIFE CYCLE ASSESSMENT",12,2022,2022,2024
"BIO-ENERGY",11,2018,2022,2022
"LIFE CYCLE ANALYSIS",11,2018,2020,2022
"LIPID",11,2012,2020,2022
"METHANE",11,2009,2015,2020
"MICROALGAE CULTIVATION",11,2020,2022,2024
"SUSTAINABLE DEVELOPMENT GOAL",11,2022,2023,2024
"BIOENERGY PRODUCTIONS",10,2018,2020,2022
"COST EFFECTIVENESS",10,2016,2022,2022
"GREENHOUSE GAS",10,2017,2022,2023
"MICROALGAL BIOMASS",10,2020,2021,2023
"PHOTOSYNTHESIS",10,2010,2016,2022
"RENEWABLE ENERGIES",10,2014,2020,2023
"BIOPRODUCTS",9,2019,2021,2022
"BIOREACTOR",9,2011,2012,2016
"ECONOMIC ASPECT",9,2019,2020,2023
"GROWTH, DEVELOPMENT AND AGING",9,2016,2019,2024
"INVESTMENTS",9,2015,2018,2020
"ALTERNATIVE ENERGY",8,2018,2020,2022
"ARTICLE",8,2021,2023,2024
"GAS EMISSIONS",8,2018,2018,2022
"MICROALGAL BIOFUELS",8,2019,2021,2023
"THIRD GENERATION",8,2020,2022,2023
"TRANSESTERIFICATION",8,2018,2020,2022
"DECISION MAKING",7,2018,2021,2022
"ECONOMICS",7,2015,2015,2021
"ENERGY BALANCE",7,2012,2013,2019
"ENERGY DEMANDS",7,2020,2022,2022
"EXTRACTION",7,2018,2020,2022
"FATTY ACIDS",7,2019,2023,2024
"FUTURE PROSPECT",7,2014,2019,2022
"GROWTH RATE",7,2014,2019,2021
"INDIA",7,2018,2018,2021
"LIPIDS",7,2013,2020,2021
"METABOLIC ENGINEERING",7,2020,2023,2024
"NUTRIENTS",7,2014,2017,2020
"SEWAGE",7,2016,2016,2024
"ALGAL BIOMASS",6,2022,2022,2024
"CO 2 EMISSION",6,2022,2022,2022
"COST BENEFIT ANALYSIS",6,2020,2022,2024
"COSTS",6,2017,2020,2022
"EFFLUENTS",6,2018,2022,2023
"ENERGY CONSERVATION",6,2020,2021,2023
"ENERGY RESOURCE",6,2012,2020,2022
"ENERGY SECURITY",6,2013,2016,2018
"INNOVATION",6,2011,2012,2014
"PHOTOBIOREACTORS",6,2014,2016,2020
"PROCEDURES",6,2016,2018,2019
"PRODUCTIVITY",6,2011,2015,2018
"RECYCLING",6,2018,2022,2024
"RENEWABLE ENERGY",6,2018,2020,2022
"RENEWABLE ENERGY RESOURCES",6,2017,2021,2022
"RENEWABLE RESOURCE",6,2012,2014,2020
"RESEARCH AND DEVELOPMENT",6,2011,2011,2016
"SPECIES CULTIVATION",6,2018,2021,2022
"WASTE WATER",6,2018,2018,2021
"WATER POLLUTION",6,2019,2020,2023
"ALGA",5,2013,2022,2023
"ARABLE LAND",5,2010,2011,2015
"BIODIVERSITY",5,2014,2015,2021
"BIOMASS PRODUCTIONS",5,2016,2017,2020
"BIOREACTORS",5,2010,2011,2012
"CIRCULAR ECONOMY",5,2023,2023,2024
"CYANOBACTERIUM",5,2015,2022,2024
"ENERGY UTILIZATION",5,2015,2019,2022
"ENVIRONMENTAL TECHNOLOGY",5,2018,2022,2023
"HARVESTING",5,2022,2023,2023
"LAND USE",5,2015,2018,2021
"LARGE-SCALES",5,2018,2023,2023
"LIFE CYCLE ASSESSMENT (LCA)",5,2019,2020,2022
"LIPID METABOLISM",5,2009,2010,2012
"NUTRIENT",5,2022,2023,2023
"PHOTOBIORE-ACTOR",5,2016,2017,2024
"PIGMENT",5,2020,2022,2022
"POTENTIAL FEEDSTOCK",5,2019,2020,2020
"PRODUCTION COST",5,2011,2011,2020
"RECLAMATION",5,2020,2021,2022
"RENEWABLE ENERGY SOURCE",5,2017,2020,2022
"SOLAR ENERGY",5,2022,2022,2022
"SOLID WASTE",5,2019,2019,2019
"SUSTAINABLE PRODUCTION",5,2022,2023,2023
"TECHNO-ECONOMIC ASSESSMENT",5,2019,2020,2022
"TEMPERATURE",5,2022,2023,2024
"VALUE ADDED PRODUCTS",5,2022,2022,2023
"'CURRENT",4,2021,2022,2022
"AGRICULTURE",4,2014,2020,2023
"AQUACULTURE",4,2012,2014,2018
"BELGIUM",4,2018,2018,2018
"BIOLOGICAL WATER TREATMENT",4,2012,2016,2020
"BIOMASS CONVERSION",4,2020,2020,2021
"BIOMASS POWER",4,2011,2012,2012
"BIOMASS PRODUCTIVITY",4,2018,2020,2020
"CARBOHYDRATE",4,2017,2020,2021
"CARBON DIOXIDE FIXATION",4,2019,2022,2022
"CARBON FOOTPRINT",4,2020,2020,2022
"CHINA",4,2011,2016,2021
"COMMERCE",4,2017,2020,2023
"COMMERCIALIZATION",4,2014,2016,2017
"COST ENGINEERING",4,2017,2020,2023
"CROPS",4,2011,2014,2019
"CYANOBACTERIA",4,2014,2015,2017
"DUNALIELLA SALINA",4,2018,2018,2019
"EMISSION CONTROL",4,2016,2020,2022
"ENERGY CRISIS",4,2022,2022,2022
"ENVIRONMENT",4,2018,2018,2018
"ENVIRONMENTAL CONDITIONS",4,2020,2020,2022
"FLOCCULATION",4,2014,2017,2019
"FOOD SECURITY",4,2012,2018,2022
"FOOD SUPPLY",4,2012,2014,2016
"HUMAN",4,2015,2018,2020
"HYDROGEN",4,2020,2021,2022
"HYDROLYSIS",4,2015,2015,2015
"INDUSTRIALISATION",4,2021,2022,2022
"LARGE SCALE PRODUCTIONS",4,2017,2018,2021
"LIGHT",4,2019,2022,2022
"MACHINE LEARNING",4,2024,2024,2024
"MICROBIAL BIOMASS",4,2020,2021,2022
"NITROGEN",4,2010,2016,2022
"OPTIMIZATION",4,2015,2016,2018
"PALM OIL",4,2011,2014,2017
"PETROLEUM TRANSPORTATION",4,2010,2014,2016
"PH",4,2019,2022,2022
"PHOSPHORUS",4,2010,2016,2022
"PRODUCTION",4,2018,2021,2024
"PRODUCTION TECHNOLOGY",4,2018,2020,2021
"PROVEN RESERVES",4,2020,2022,2022
"TECHNO-ECONOMIC ANALYSIS",4,2021,2022,2023
"TECHNOLOGICAL DEVELOPMENT",4,2011,2011,2013
"TECHNOLOGY",4,2014,2019,2022
"WASTE MANAGEMENT",4,2021,2023,2023
"WASTEWATER RECLAMATION",4,2010,2013,2016
"WATER",4,2017,2020,2022
"AIR QUALITY",3,2022,2023,2024
"ALGAL BIOFUELS",3,2019,2023,2024
"ALGAL CELL CULTURE",3,2022,2023,2023
"ALGAL CULTURE",3,2018,2020,2022
"ALTERNATIVE FUELS",3,2012,2012,2014
"ALTERNATIVE TO FOSSIL FUELS",3,2015,2016,2018
"ANIMAL FOOD",3,2020,2020,2022
"ANIMALIA",3,2014,2015,2018
"BETA CAROTENE",3,2018,2018,2020
"BIOCHAR",3,2019,2019,2022
"BIOPROCESS",3,2017,2019,2020
"BIOTECHNOLOGICAL PROCEDURES",3,2014,2018,2019
"BIOTRANSFORMATION",3,2019,2019,2020
"CARBON EMISSION",3,2023,2023,2024
"CAROTENOID",3,2022,2022,2022
"CHEMISTRY",3,2014,2015,2019
"CHLORELLA-VULGARIS",3,2018,2023,2024
"CO-PRODUCTS",3,2013,2016,2017
"COMMERCIALISATION",3,2018,2018,2020
"COST EFFECTIVENESS ANALYSIS",3,2021,2023,2023
"CRITICAL REVIEW",3,2015,2018,2018
"DOWNSTREAM-PROCESSING",3,2015,2020,2021
"DOWNSTREAM PROCESSING",3,2018,2019,2020
"ECONOMICALLY VIABLE",3,2018,2020,2021
"EFFLUENT",3,2022,2023,2023
"ENERGY CONSUMPTION",3,2014,2018,2018
"ENERGY MANAGEMENT",3,2019,2020,2021
"ENVIRONMENTAL MITIGATION",3,2022,2023,2023
"ESCHERICHIA COLI",3,2024,2024,2024
"ETHANOL",3,2011,2012,2018
"FATTY ACID",3,2021,2022,2022
"FEASIBILITY STUDY",3,2020,2020,2022
"FUEL",3,2024,2024,2024
"FUELS",3,2011,2013,2016
"GENE EXPRESSION",3,2011,2011,2012
"GREENHOUSE EFFECT",3,2020,2020,2021
"HIGH LIPID CONTENTS",3,2018,2021,2022
"HIGH PRODUCTIVITY",3,2010,2010,2010
"HUMANS",3,2014,2016,2020
"INDUSTRIAL PRODUCTION",3,2018,2019,2021
"INTEGRATED BIOREFINERY",3,2019,2020,2020
"LAKES",3,2016,2016,2020
"LCA",3,2016,2018,2021
"LIPID EXTRACTION",3,2020,2020,2022
"LIQUEFACTION",3,2024,2024,2024
"LOW-COSTS",3,2020,2023,2024
"MICROALGA BIOREFINERY",3,2020,2022,2022
"MIXOTROPH",3,2019,2020,2021
"OIL EXTRACTION",3,2020,2020,2022
"OILS AND FATS",3,2016,2018,2020
"POLYUNSATURATED FATTY ACID",3,2019,2019,2021
"PROCESS INTEGRATION",3,2014,2018,2018
"PRODUCTION SYSTEM",3,2010,2011,2016
"PROTEIN",3,2016,2023,2024
"REFINING INDUSTRY",3,2015,2015,2015
"RISK ASSESSMENT",3,2022,2024,2024
"SCALE UP",3,2014,2016,2019
"SEAWEED",3,2018,2024,2024
"SENSITIVITY ANALYSIS",3,2016,2018,2022
"SODIUM",3,2009,2009,2009
"STATE-OF-THE ART REVIEWS",3,2019,2020,2021
"SUNLIGHT",3,2010,2010,2010
"SUSTAINABLE ENERGY SOURCES",3,2012,2014,2018
"SYNTHETIC BIOLOGY",3,2024,2024,2024
"TECHNICAL EFFICIENCY",3,2018,2019,2020
"TECHNOLOGICAL IMPROVEMENTS",3,2012,2012,2016
"TRANSESTERIFICATIONS",3,2022,2022,2023
"UNCERTAINTY",3,2016,2016,2018
"WASTE-WATER",3,2018,2023,2024
"WATER RECYCLING",3,2012,2015,2016
"WATER TREATMENT",3,2014,2016,2020
"A-CARBON",2,2022,2022,2023
"ACETOBACTER",2,2025,2025,2025
"ADVANCED BIOFUELS",2,2022,2022,2022
"AGRICULTURAL LAND",2,2015,2018,2021
"AGRICULTURAL RESOURCES",2,2011,2012,2014
"AGRICULTURAL WASTE",2,2020,2021,2022
"ALGAE BIOFUELS",2,2018,2020,2021
"ALGAL GROWTH",2,2012,2013,2014
"ALTERNATIVE FEEDSTOCKS",2,2014,2016,2019
"ALTERNATIVE FUEL",2,2011,2011,2011
"ANAEROBIC GROWTH",2,2010,2012,2014
"ANAEROBIOSIS",2,2010,2012,2014
"ANIMAL",2,2017,2018,2019
"ANIMALS",2,2017,2018,2019
"ANOXIC CONDITIONS",2,2010,2012,2014
"ATMOSPHERE",2,2019,2019,2019
"ATMOSPHERIC CHEMISTRY",2,2022,2022,2023
"AVIATION FUEL",2,2024,2024,2024
"BACTERIOPHAGES",2,2023,2024,2024
"BIO-ETHANOLS",2,2022,2023,2024
"BIO-MITIGATION",2,2018,2018,2018
"BIOACCUMULATION",2,2020,2022,2024
"BIOCATALYST",2,2010,2010,2011
"BIOCHEMICAL COMPOSITION",2,2012,2016,2020
"BIOCRUDE",2,2024,2024,2024
"BIODEGRADABILITY",2,2022,2022,2023
"BIODEGRADATION",2,2009,2009,2009
"BIODIESEL FEEDSTOCK",2,2014,2018,2022
"BIOENGINEERING",2,2014,2016,2017
"BIOFUEL FEEDSTOCKS",2,2017,2019,2021
"BIOFUELS PRODUCTION",2,2011,2012,2014
"BIOGAS UPGRADING",2,2017,2018,2019
"BIOLOGICAL MATERIALS",2,2011,2014,2016
"BIOLOGICAL PRODUCTION",2,2016,2016,2016
"BIOMASS SOURCE",2,2022,2023,2024
"BIOMETHANE",2,2012,2014,2017
"BIOMOLECULES",2,2023,2024,2024
"BIOPROCESSES",2,2013,2014,2016
"BIOSORPTION",2,2023,2023,2023
"BLENDING",2,2019,2020,2020
"BOTRYOCOCCUS BRAUNII",2,2013,2016,2020
"CANADA",2,2017,2019,2021
"CARBOHYDRATE METABOLISM",2,2012,2012,2012
"CARBON-CONCENTRATING MECHANISM",2,2022,2022,2023
"CARBON CAPTURE",2,2020,2020,2021
"CARBON DIOXIDE EMISSION",2,2023,2024,2024
"CARBON FIXATION",2,2009,2010,2010
"CARBON NEUTRALS",2,2022,2022,2022
"CARBON SINK",2,2023,2023,2023
"CARBOXYLIC ACID",2,2015,2015,2015
"CAROTENOIDS",2,2022,2022,2022
"CATALYST",2,2014,2018,2021
"CATALYSTS",2,2022,2023,2024
"CATALYTIC CRACKING",2,2023,2024,2024
"CATALYTIC OXIDATION",2,2023,2024,2024
"CELL DISRUPTION",2,2024,2024,2024
"CELL ENGINEERING",2,2015,2018,2021
"CELLULOSIC ETHANOL",2,2020,2022,2024
"CHALLENGE",2,2019,2020,2021
"CHEMICAL ANALYSIS",2,2018,2018,2019
"CHEMICAL INDUSTRY",2,2020,2020,2021
"CHEMICAL OXYGEN DEMAND",2,2023,2023,2023
"CHEMICALS",2,2018,2019,2020
"CHLAMYDOMONAS REINHARDTII",2,2013,2016,2020
"CHLORELLA",2,2024,2024,2024
"CHLORELLA SOROKINIANA",2,2020,2021,2022
"CHLORELLA VULGARIS",2,2024,2024,2024
"CIRCULAR BIOECONOMY",2,2021,2022,2022
"COCULTURE",2,2019,2020,2022
"CODIGESTION",2,2012,2014,2017
"COMBUSTION",2,2013,2016,2019
"COMMERCIAL PHENOMENA",2,2019,2020,2022
"COMMERCIAL PRODUCTIONS",2,2017,2018,2019
"CONDITION",2,2022,2022,2022
"CONSERVATION",2,2020,2020,2021
"CONSERVATION OF ENERGY RESOURCES",2,2016,2018,2020
"CONTINUOUS CULTIVATION",2,2017,2018,2020
"COSMETIC",2,2020,2021,2022
"COST",2,2017,2018,2019
"COST-BENEFIT ANALYSIS",2,2012,2012,2012
"COST EFFECTIVE",2,2022,2022,2022
"CURRENT STATUS",2,2018,2020,2021
"CURRENT TECHNOLOGY",2,2010,2011,2012
"DESIGN",2,2016,2016,2017
"DEWATERING",2,2011,2012,2012
"DIESEL",2,2011,2012,2014
"DIGESTATE",2,2022,2022,2023
"DISINFECTION",2,2024,2024,2024
"DOWNSTREAM PROCESS",2,2020,2020,2021
"ECO-FRIENDLY",2,2018,2019,2020
"ECONOMIC DEVELOPMENT",2,2011,2011,2011
"ECONOMIC EVALUATION",2,2017,2018,2018
"ECONOMIC FEASIBILITIES",2,2018,2019,2020
"ECONOMIC ISSUES",2,2023,2023,2023
"ECOSYSTEM",2,2022,2022,2022
"EFFLUENT TREATMENT",2,2023,2024,2024
"ENERGY CROP",2,2012,2015,2018
"ENERGY EFFICIENCY",2,2012,2014,2017
"ENERGY PLANNING",2,2012,2014,2015
"ENERGY PRODUCTIONS",2,2022,2023,2024
"ENERGY SYSTEMS",2,2022,2023,2024
"ENVIRONMENT FRIENDLY",2,2016,2018,2019
"ENVIRONMENTAL ECONOMICS",2,2017,2019,2021
"ENVIRONMENTAL FACTOR",2,2013,2016,2020
"ENVIRONMENTAL IMPACT ASSESSMENT",2,2012,2012,2012
"ENVIRONMENTAL ISSUES",2,2017,2019,2021
"ENVIRONMENTAL MONITORING",2,2020,2020,2020
"ENVIRONMENTAL OBJECTIVES",2,2018,2020,2021
"ENVIRONMENTAL POLICY",2,2020,2020,2021
"ENVIRONMENTAL PROBLEMS",2,2016,2018,2019
"ENVIRONMENTAL PROTECTION",2,2022,2022,2022
"ENVIRONMENTAL REGULATIONS",2,2024,2024,2025
"ENVIRONMENTAL RISK",2,2015,2018,2020
"EUKARYOTA",2,2010,2011,2012
"EXPLOITATION",2,2014,2016,2018
"FAST GROWTH RATE",2,2014,2016,2019
"FERMENTATION",2,2020,2020,2020
"FERTILIZER",2,2017,2019,2021
"FERTILIZERS",2,2018,2020,2021
"FOOD CROPS",2,2014,2016,2019
"FOSSIL FUEL SOURCES",2,2017,2019,2021
"FUEL CONSUMPTION",2,2012,2013,2014
"GAS PLANTS",2,2019,2020,2021
"GENE EDITING",2,2018,2018,2018
"GENE EXPRESSION REGULATION",2,2011,2012,2012
"GENETIC TRANSFORMATION",2,2011,2012,2012
"GENETICS",2,2018,2018,2019
"GLOBAL WARMING AND CLIMATE CHANGES",2,2017,2018,2020
"GREENHOUSE-GAS EMISSIONS",2,2023,2023,2023
"GREENHOUSE GAS EMISSION",2,2023,2024,2024
"HEAVY METAL",2,2020,2021,2022
"HETEROTROPH",2,2014,2016,2019
"HIGH COSTS",2,2012,2014,2016
"HUMAN HEALTH",2,2024,2024,2024
"HUMAN POPULATION",2,2017,2018,2020
"HYDROTHERMAL LIQUEFACTION",2,2018,2018,2019
"INCENTIVE",2,2024,2024,2024
"INDUSTRIAL PLANTS",2,2018,2018,2018
"INDUSTRIAL WASTEWATERS",2,2020,2021,2022
"INDUSTRIALIZATION",2,2016,2018,2019
"INDUSTRY",2,2016,2018,2020
"INFORMATICS",2,2015,2015,2015
"INTEGRATED APPROACH",2,2016,2017,2018
"IONIC LIQUIDS",2,2020,2022,2023
"LARGE SCALE CULTIVATIONS",2,2018,2019,2020
"LIFE-CYCLE ASSESSMENT",2,2015,2016,2016
"LIFE-CYCLE ASSESSMENTS",2,2020,2020,2020
"LIPID PRODUCTIVITIES",2,2017,2018,2019
"LIQUID BIOFUELS",2,2014,2018,2021
"LISTERIA",2,2025,2025,2025
"LITERATURE REVIEW",2,2015,2018,2021
"MARINE MICROALGAE",2,2019,2020,2020
"MARKET",2,2020,2021,2022
"MICROALGA BIOFUEL",2,2024,2024,2025
"MICROALGA BIOMASS",2,2018,2020,2021
"MICROALGAL BIODIESEL",2,2021,2022,2022
"MICROALGAL BIODIESEL PRODUCTION",2,2018,2020,2022
"MICROALGAL BIODIESELS",2,2019,2020,2020
"MICROALGAL CULTIVATIONS",2,2015,2016,2016
"MICROALGAL CULTURES",2,2019,2020,2020
"MICROBIAL FUEL CELL",2,2023,2023,2023
"MICROBIOLOGY",2,2016,2016,2016
"MITIGATION",2,2010,2011,2012
"MUNICIPAL SOLID WASTE",2,2020,2021,2022
"NANNOCHLOROPSIS",2,2020,2021,2022
"NANNOCHLOROPSIS OCEANICA",2,2024,2024,2024
"NITROGEN OXIDES",2,2014,2017,2020
"NON-RENEWABLE",2,2022,2022,2022
"NON-RENEWABLE ENERGY RESOURCES",2,2014,2017,2020
"NUCLEIC ACIDS",2,2011,2012,2012
"NUTRACEUTICAL",2,2020,2021,2022
"NUTRIENT AVAILABILITY",2,2014,2014,2015
"NUTRIENT RECYCLING",2,2012,2014,2015
"OIL",2,2016,2017,2018
"OIL PRODUCTION",2,2012,2012,2012
"OXYGEN",2,2020,2020,2021
"PALM OIL MILL EFFLUENTS",2,2018,2019,2020
"PERCEPTION",2,2011,2011,2011
"PHAEODACTYLUM TRICORNUTUM",2,2013,2016,2020
"PHOTOBIOREACTOR",2,2023,2024,2024
"PHYSICAL CHEMISTRY",2,2019,2020,2020
"PHYTOREMEDIATION",2,2020,2021,2022
"PIGMENTS",2,2020,2020,2020
"PLASTIC",2,2022,2022,2023
"POLLUTANT REMOVAL",2,2018,2020,2021
"POLLUTION",2,2014,2015,2016
"POLYUNSATURATED FATTY ACIDS",2,2022,2022,2023
"POND",2,2024,2024,2025
"PORPHYRIDIUM",2,2020,2021,2022
"POWER GENERATION",2,2011,2012,2012
"PROCESS OPTIMIZATION",2,2020,2021,2022
"PROCESS TECHNOLOGY",2,2020,2020,2021
"PROTEINS",2,2020,2022,2023
"PUBLIC HEALTH",2,2024,2024,2024
"RACEWAY POND",2,2016,2016,2016
"RENEWABLE FUELS",2,2013,2016,2020
"RENEWABLE SOURCES",2,2018,2019,2020
"RENEWABLES",2,2017,2018,2020
"RESEARCH EFFORTS",2,2020,2020,2021
"RESOURCE RECOVERY",2,2022,2023,2024
"SALINITY",2,2018,2018,2019
"SCALE-UP",2,2012,2014,2015
"SEASONAL VARIATION",2,2018,2020,2021
"SECOND GENERATION",2,2022,2022,2023
"SOCIAL LIFE",2,2025,2025,2025
"SOIL POLLUTION",2,2018,2020,2022
"STATE OF THE ART",2,2014,2016,2018
"STRAIN",2,2022,2022,2023
"SULFUR DIOXIDE",2,2020,2020,2021
"SUSTAINABLE ENERGY",2,2014,2017,2020
"SUSTAINABLE RESOURCES",2,2013,2016,2018
"SYNTHESIS",2,2014,2018,2022
"SYSTEMS BIOLOGY",2,2014,2017,2020
"TAXATION",2,2019,2020,2020
"TECHNOECONOMIC ANALYSIS",2,2018,2018,2019
"TECHNOLOGY CHALLENGES",2,2020,2021,2022
"TERRESTRIAL PLANTS",2,2015,2018,2021
"THERMOCHEMICAL CONVERSION",2,2023,2023,2023
"TRANSPORTATION FUELS",2,2011,2013,2015
"TREND STUDY",2,2020,2021,2022
"UNCLASSIFIED DRUG",2,2020,2022,2023
"US DEPARTMENT OF ENERGY",2,2010,2010,2010
"VALORIZATION",2,2021,2022,2022
"VOLUMETRIC EFFICIENCY",2,2011,2012,2012
"WASTE INCINERATION",2,2024,2024,2025
"WASTE WATER BIOREMEDIATION",2,2022,2023,2024
"WATER CONSERVATION",2,2013,2016,2019
"WATER MANAGEMENT",2,2013,2013,2013
"WATER RESOURCES",2,2011,2012,2012
"ZERO WASTE",2,2020,2021,2022
"% REDUCTIONS",1,2015,2015,2015
"]+ CATALYST",1,2022,2022,2022
"ABBREVIATION AD EFFLUENT FROM AN ANEROBIC DIGESTION TANK",1,2022,2022,2022
"ACCIDENTS",1,2016,2016,2016
"ACID RAIN",1,2014,2014,2014
"ACYLGLYCEROL",1,2011,2011,2011
"ADDED VALUE PRODUCTS",1,2010,2010,2010
"ADENOVIRIDAE",1,2024,2024,2024
"ADVANCED GENERATION BIOFUEL",1,2021,2021,2021
"ADVANCED TECHNOLOGY",1,2013,2013,2013
"AEROBIC BACTERIA",1,2025,2025,2025
"AGRICULTURAL SLURRY",1,2016,2016,2016
"AGRICULTURAL WASTES",1,2024,2024,2024
"AGRO-INDUSTRIAL RESIDUE",1,2021,2021,2021
"ALCOHOL",1,2012,2012,2012
"ALCOHOL DERIVATIVE",1,2020,2020,2020
"ALGA BIOENERGY",1,2017,2017,2017
"ALGA CULTIVATION",1,2022,2022,2022
"ALGAE BIOMASS",1,2023,2023,2023
"ALGAL BIOCHAR",1,2025,2025,2025
